R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.4E-37,0.016,4100.0,4200.0,2800.0,4600000.0,6400.0,1600.0,2100.0,240.0,800.0,0.2,4600000.0,1.1E-5,0.062,0.062,0.0,360.0,7.0,0.0,0.0,2.7E7,1.0,7.1E8,
1.3000000000000001E-37,0.015,4100.0,4200.0,2800.0,4200000.0,6400.0,1600.0,2000.0,240.0,800.0,0.19,4200000.0,1.3E-5,0.059,0.059,0.0,360.0,6.7,0.0,0.0,2.5E7,1.0,7.1E8,
1.3000000000000001E-37,0.015,4100.0,4200.0,2800.0,3999999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,4099999.9999999995,1.5E-5,0.057,0.057,0.0,360.0,6.5,0.0,0.0,2.4E7,1.0,7.1E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.7E-5,0.054,0.054,0.0,360.0,6.3,0.0,0.0,2.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.9E-5,0.054,0.054,0.0,360.0,6.3,0.0,0.0,2.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.9E-5,0.054,0.054,0.0,360.0,6.3,0.0,0.0,2.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.7E-5,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.5E-5,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.3E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.3E-5,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.5E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.1E-5,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,9.6E-6,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.8E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.2E-6,0.054,0.054,0.0,350.0,6.3,0.0,0.0,2.9E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.1E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.2E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.2E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.6E7,1.0,7.0E8,
