R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.1E-37,0.016,3200.0,4900.0,4900.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.2E-5,0.037,0.037,0.0,330.0,11.0,5.7E-21,1.6999999999999998E-31,0.0,2.5E7,1.0,6.9E8,
1.1E-37,0.016,3200.0,4900.0,4900.0,3799999.9999999995,3700.0,1500.0,2000.0,230.0,2400.0,0.17,3799999.9999999995,0.0,2.2E-5,0.037,0.037,0.0,330.0,11.0,6.3E-21,1.7999999999999998E-31,0.0,2.5E7,1.0,6.9E8,
1.4E-37,0.016,590.0,5700.0,1900.0,5000000.0,5500.0,1500.0,2000.0,230.0,2400.0,0.18,5000000.0,0.0,7.7E-6,0.081,0.081,0.0,390.0,5.5,1.9E-20,2.4E-27,0.053,2.5E7,1.0,7.1E8,
1.4E-37,0.015,590.0,5700.0,1900.0,4800000.0,5500.0,1500.0,2000.0,230.0,2400.0,0.18,4800000.0,0.0,1.3E-5,0.078,0.078,0.0,390.0,5.3,1.9E-20,1.3E-27,0.053,2.4E7,1.0,7.1E8,
1.4E-37,0.015,590.0,5700.0,1900.0,4700000.0,5500.0,1500.0,2000.0,230.0,2400.0,0.18,4800000.0,0.0,1.5E-5,0.078,0.078,0.0,390.0,5.3,2.0E-20,4.8E-28,0.053,2.2E7,1.0,7.1E8,
1.4E-37,0.015,590.0,5700.0,1900.0,4400000.0,5500.0,1500.0,2000.0,230.0,2400.0,0.18,4400000.0,0.0,1.7E-5,0.075,0.075,0.0,390.0,5.0,2.1E-20,1.7000000000000003E-28,0.053,2.1E7,1.0,7.1E8,
1.3000000000000001E-37,0.014,590.0,5700.0,1900.0,3999999.9999999995,5500.0,1500.0,1900.0,230.0,2400.0,0.18,4099999.9999999995,0.0,1.8E-5,0.071,0.071,0.0,390.0,4.7,2.1E-20,9.1E-29,0.052,2.0E7,1.0,7.0E8,
1.4E-37,0.023,4100.0,6600.0,1900.0,5100000.0,3000.0,1500.0,1900.0,230.0,2400.0,0.18,5100000.0,0.0,2.8E-5,0.081,0.081,0.0,400.0,6.8,2.3E-20,1.8E-27,0.58,2.0E7,1.0,7.1E8,
1.4E-37,0.022,4100.0,6500.0,1900.0,4600000.0,3000.0,1500.0,1900.0,220.0,2400.0,0.18,4600000.0,0.0,2.8E-5,0.077,0.077,0.0,400.0,6.4,2.4E-20,9.5E-28,0.57,1.9E7,1.0,7.1E8,
1.4E-37,0.022,4100.0,6500.0,1900.0,4400000.0,3000.0,1500.0,1900.0,220.0,2400.0,0.18,4400000.0,0.0,3.0E-5,0.074,0.074,0.0,400.0,6.1,2.5E-20,4.2E-28,0.57,1.8E7,1.0,7.1E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3799999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.0E-5,0.069,0.069,0.0,400.0,5.6,2.5E-20,2.2000000000000004E-28,0.56,1.8E7,1.0,7.0E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3799999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.0E-5,0.068,0.068,0.0,390.0,5.6,2.6E-20,9.9E-29,0.56,1.7E7,1.0,6.9E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.2E-5,0.068,0.068,0.0,390.0,5.5,2.8E-20,3.0999999999999997E-29,0.56,1.7E7,1.0,6.9E8,
